agent,title,date,url,attachment_url,attachment_name,attachment_webfile_id,attachment_times
1035,关于召开2024-2025学年秋季学期期末本科教育教学工作会议的通知-福州大学教务处,2025-01-04,https://jwch.fzu.edu.cn/info/1035/13847.htm,,,,
1035,关于评选2024年优秀教学管理人员的通知-福州大学教务处,2024-12-12,https://jwch.fzu.edu.cn/info/1035/13790.htm,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15643196,附件2-福州大学2024年优秀教学管理人员申报表.doc,15643196,99
1035,关于评选2024年优秀教学管理人员的通知-福州大学教务处,2024-12-12,https://jwch.fzu.edu.cn/info/1035/13790.htm,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15643197,附件1-福大政21-47福州大学关于印发优秀教学管理人员评选办法的通知.pdf,15643197,86
1035,关于2024-2025学年第一学期再次开放本科生学生证补办及火车票优惠区间更改的通知-福州大学教务处,2024-11-15,https://jwch.fzu.edu.cn/info/1035/13759.htm,,,,
1035,关于召开2024-2025学年秋季学期期初本科教育教学工作会议的通知-福州大学教务处,2024-09-06,https://jwch.fzu.edu.cn/info/1035/13666.htm,,,,
1035,关于2024-2025学年第一学期本科生学生证和火车票优惠区间更改的通知-福州大学教务处,2024-09-04,https://jwch.fzu.edu.cn/info/1035/13654.htm,,,,
1035,关于召开2024年宁夏大学、银川能源学院本科生赴福州大学访学见面交流会的通知-福州大学教务处,2024-09-02,https://jwch.fzu.edu.cn/info/1035/13651.htm,,,,
1035,关于2024级本科生（含访学学生）学生证信息采集的通知-福州大学教务处,2024-09-02,https://jwch.fzu.edu.cn/info/1035/13648.htm,,,,
1035,关于购买优惠火车票相关事宜的通知-福州大学教务处,2024-08-30,https://jwch.fzu.edu.cn/info/1035/13646.htm,,,,
1035,教务处关于2024年暑假用印安排的通知-福州大学教务处,2024-07-06,https://jwch.fzu.edu.cn/info/1035/13626.htm,,,,
1035,友情提示-福州大学教务处,2024-06-29,https://jwch.fzu.edu.cn/info/1035/13592.htm,,,,
1035,关于2023-2024学年第二学期再次开放本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知-福州大学教务处,2024-05-08,https://jwch.fzu.edu.cn/info/1035/13475.htm,,,,
1035,关于第61届中国高等教育博览会的参会指南-福州大学教务处,2024-04-12,https://jwch.fzu.edu.cn/info/1035/13378.htm,,,,
1035,关于组织教师参加第61届中国高等教育博览会的通知-福州大学教务处,2024-04-02,https://jwch.fzu.edu.cn/info/1035/13347.htm,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14590885,附件4：参会教师名单收集汇总表.xls,14590885,329
1035,关于组织教师参加第61届中国高等教育博览会的通知-福州大学教务处,2024-04-02,https://jwch.fzu.edu.cn/info/1035/13347.htm,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14590884,附件2：高博会日程总览.jpg,14590884,320
1035,关于组织教师参加第61届中国高等教育博览会的通知-福州大学教务处,2024-04-02,https://jwch.fzu.edu.cn/info/1035/13347.htm,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14590883,附件3：报名二维码.doc,14590883,270
1035,关于组织教师参加第61届中国高等教育博览会的通知-福州大学教务处,2024-04-02,https://jwch.fzu.edu.cn/info/1035/13347.htm,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14590882,附件1：各单位选派教师参会名额安排表.xlsx,14590882,321
1035,关于更改2023-2024学年春季学期期初本科教育教学工作会议时间的通知-福州大学教务处,2024-03-14,https://jwch.fzu.edu.cn/info/1035/13313.htm,,,,
1035,关于召开2023-2024学年春季学期期初本科教育教学工作会议的通知-福州大学教务处,2024-03-13,https://jwch.fzu.edu.cn/info/1035/13309.htm,,,,
1035,关于2023-2024学年第二学期本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知-福州大学教务处,2024-02-29,https://jwch.fzu.edu.cn/info/1035/13280.htm,,,,
1035,教务处关于2024年寒假用印安排的通知-福州大学教务处,2024-01-20,https://jwch.fzu.edu.cn/info/1035/13252.htm,,,,
1035,关于召开2023-2024学年秋季学期期末本科教育教学工作会议的通知-福州大学教务处,2024-01-10,https://jwch.fzu.edu.cn/info/1035/13242.htm,,,,
